"Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","lostreason","Longitude","Address","Geocode Status","Latitude"
"WebRTC utvecklare","3da20ce6-fbc8-63bf-e70b-68f201ec8f2a","SE1000000,00","'-99","12/12/2024","Closed Lost","25","","","Hellsoft","","SE1000000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"WebRTC workshop","1da8cf47-ded9-3633-7d93-68f201df5c4c","SE50000,00","'-99","11/11/2022","Closed Lost","30","","","Zahn AS","","SE50000,00","","","jonasbirme","5548ec37-5d60-9e14-3d62-68ff5722bdc6","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"WebVR 360 player","b0c7e5ba-5a77-eba0-b8af-68f201a83231","SE0,00","'-99","02/27/2020","Closed Lost","0","","","Agência Orbit","","SE0,00","","","jonasbirme","5548ec37-5d60-9e14-3d62-68ff5722bdc6","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"WHEP client development","93814979-edbf-603c-8f2e-68f201223dda","SE100000,00","'-99","11/10/2022","Closed Lost","30","","","Vivoh","","SE100000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"WHEP development","42ec13fc-f20f-9d55-f4bd-68f2010237f5","SE130000,00","'-99","03/09/2023","Closed Lost","40","","","Synamedia","","SE130000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Whep playback iOS","ce2856d0-8327-3754-5859-68f20173160f","SE100000,00","'-99","05/09/2024","Closed Lost","25","","","Pixelview","","SE100000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"WHEP player integration","e4aa0163-9087-39c7-691b-68f201cc9d37","SE200000,00","'-99","05/25/2023","Closed Lost","25","","","Dolby","","SE200000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"whip-mpegts development","83a02e1c-79d0-a422-ba7f-68f201a4a8ad","SE120000,00","'-99","09/21/2023","Closed Won","11","","","Natoarts Limited","","SE120000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Work package: Update Channel Engine","8d42041b-45d6-029c-f581-68f2011e5e94","SE0,00","'-99","08/25/2020","Closed Won","0","","","OTTera","","SE0,00","","","jonasbirme","5548ec37-5d60-9e14-3d62-68ff5722bdc6","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Workshop codec","4abbe005-30a3-a8a1-5aa5-68f2017c9e27","SE20000,00","'-99","12/08/2022","Closed Won","50","","","Vidhance","","SE20000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Workshop Production Automation","497d9a50-11ea-59bf-2f97-68f201179225","SE3000000,00","'-99","10/24/2025","Closed Lost","25","","","RTE","","SE3000000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/31/2025 14:58","1","88d6d3dc-1e82-5e98-2dea-68ff57fae638","0","","0,00000000","","","0,00000000"
"Wowza GoCoder replacement","41775c54-9998-104b-ed82-68f2019b7640","SE0,00","'-99","08/20/2020","Closed Lost","0","","","Mavshack","","SE0,00","","","jonasbirme","5548ec37-5d60-9e14-3d62-68ff5722bdc6","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
